区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
思明,港龙新城,550.0,2室2厅,87.06平米,63175,东西,低楼层/共9层,暂无数据/简装,2009年建/板楼 ,无,共有 ,2021年11月29日 
思明,阳光海岸,820.0,3室2厅,145.14平米,56498,南北,低楼层/共9层,暂无数据/精装,2003年建/板楼 ,有,共有 ,2021年11月29日 
思明,厦罐宿舍,450.0,2室1厅,68.39平米,65800,东南北,中楼层/共8层,平层/精装,1989年建/板楼 ,无,非共有 ,2021年11月28日 
思明,南湖明珠,1345.0,4室1厅,185.46平米,72523,南北,中楼层/共33层,复式/精装,2004年建/塔楼 ,有,共有 ,2021年11月28日 
思明,经发委系统拆迁安置房,380.0,2室2厅,68.2平米,55719,南北,低楼层/共7层,暂无数据/简装,平房 ,无,非共有 ,2021年11月28日 
思明,新嘉园,260.0,1室0厅,34.29平米,75824,南,中楼层/共12层,暂无数据/简装,2004年建/板楼 ,有,非共有 ,2021年11月28日 
思明,侨岳里小区,428.0,2室2厅,69.92平米,61213,东南,中楼层/共8层,暂无数据/精装,1994年建/板楼 ,无,非共有 ,2021年11月28日 
思明,仙岳山庄,950.0,3室1厅,132.85平米,71510,南,低楼层/共6层,平层/精装,板楼 ,无,非共有 ,2021年11月28日 
思明,官邸大厦思明,380.0,2室2厅,45.43平米,83646,南,中楼层/共16层,暂无数据/其他,2005年建/塔楼 ,有,非共有 ,2021年11月28日 
思明,凯旋广场,688.0,3室1厅,101平米,68119,南北,高楼层/共32层,暂无数据/其他,1999年建/塔楼 ,有,非共有 ,2021年11月28日 
思明,宝莲花园,549.0,4室2厅,91.45平米,60033,南西南北,高楼层/共6层,平层/简装,1990年建/板楼 ,无,非共有 ,2021年11月28日 
思明,龙昌里居住区,455.0,2室2厅,76.8平米,59245,南北,低楼层/共7层,暂无数据/简装,1996年建/板楼 ,无,非共有 ,2021年11月28日 
思明,福达里,299.0,1室1厅,35.23平米,84871,东,低楼层/共26层,暂无数据/简装,2011年建/板塔结合 ,有,非共有 ,2021年11月28日 
思明,嘉美花园,730.0,3室2厅,108.9平米,67034,东南,低楼层/共6层,平层/精装,1990年建/板楼 ,无,共有 ,2021年11月28日 
思明,筼筜书院,50.0,车位,35.41平米,14121,南,地下室/共1层,暂无数据/毛坯,2011年建/板楼 ,无,非共有 ,2021年11月28日 
思明,厦航洪文小区,790.0,3室2厅,124.62平米,63393,西南北,中楼层/共7层,暂无数据/简装,2000年建/板楼 ,无,非共有 ,2021年11月28日 
思明,鸿运大厦,696.0,3室1厅,115.7平米,60156,东南,高楼层/共32层,平层/精装,2005年建/塔楼 ,有,非共有 ,2021年11月28日 
思明,盈翠里,580.0,2室1厅,68.09平米,85182,南北,中楼层/共6层,平层/精装,1990年建/板楼 ,无,非共有 ,2021年11月28日 
思明,金鸡亭小区东区,380.0,2室1厅,74.18平米,51227,西南,中楼层/共7层,暂无数据/精装,1996年建/板楼 ,无,共有 ,2021年11月27日 
思明,骏景园,336.0,1室1厅,41.94平米,80115,西,高楼层/共12层,暂无数据/简装,2002年建/板楼 ,有,非共有 ,2021年11月27日 
思明,寿彭路1号院,460.0,2室1厅,60.25平米,76349,北南,低楼层/共7层,暂无数据/简装,板楼 ,无,非共有 ,2021年11月27日 
思明,乔永康大厦,790.0,3室2厅,140.6平米,56188,东南,高楼层/共25层,平层/简装,1997年建/板楼 ,有,非共有 ,2021年11月27日 
思明,建兴小区,350.0,1室1厅,40.09平米,87304,南北,高楼层/共6层,平层/简装,1991年建/板楼 ,无,非共有 ,2021年11月27日 
思明,假日E时代,768.0,3室1厅,99.41平米,77256,西北,高楼层/共15层,平层/精装,2002年建/板楼 ,有,非共有 ,2021年11月27日 
思明,美新广场,155.0,1室1厅,52.26平米,29660,北,低楼层/共33层,暂无数据/简装,2005年建/塔楼 ,有,共有 ,2021年11月27日 
思明,玉亭里,438.0,3室2厅,62.71平米,69846,南北,高楼层/共7层,暂无数据/精装,板楼 ,无,非共有 ,2021年11月26日 
思明,厦港新村,535.0,3室2厅,86.56平米,61807,南西北,中楼层/共7层,暂无数据/精装,1989年建/板楼 ,无,非共有 ,2021年11月27日 
思明,仙岳嘉园,725.0,4室1厅,158.58平米,45719,南,中楼层/共26层,平层/简装,2006年建/塔楼 ,有,非共有 ,2021年11月27日 
思明,嘉盛豪园,538.0,2室2厅,92.79平米,57981,南,低楼层/共9层,暂无数据/精装,2006年建/板楼 ,有,共有 ,2021年11月27日 
思明,安宝大厦,960.0,3室2厅,141.29平米,67946,东南,高楼层/共31层,暂无数据/精装,2002年建/板楼 ,有,共有 ,2021年11月27日 
思明,松岳里一区,628.0,3室2厅,117.77平米,53325,南北,低楼层/共6层,平层/简装,1998年建/板楼 ,无,非共有 ,2021年11月27日 
思明,轮船宿舍,588.0,3室1厅,86.32平米,68119,南,低楼层/共8层,暂无数据/简装,1990年建/板楼 ,无,非共有 ,2021年11月27日 
思明,联丰商城,568.0,4室2厅,126.61平米,44863,南北,低楼层/共8层,暂无数据/精装,2001年建/塔楼 ,无,共有 ,2021年11月27日 
思明,翡翠城,558.0,3室1厅,89.99平米,62007,东北北,中楼层/共19层,平层/精装,2006年建/塔楼 ,有,共有 ,2021年11月27日 
思明,金鸡亭小区西区,378.0,2室1厅,76.79平米,49226,南北,高楼层/共7层,平层/简装,1997年建/板楼 ,无,共有 ,2021年11月27日 
思明,盈翠里,679.0,3室1厅,80.31平米,84548,南北西,高楼层/共6层,平层/简装,1988年建/板楼 ,无,非共有 ,2021年11月27日 
思明,江山帝景,1520.0,4室2厅,193.12平米,78708,东南,中楼层/共31层,复式/精装,2007年建/板楼 ,有,非共有 ,2021年11月27日 
思明,能群大厦,588.0,2室1厅,87.82平米,66956,东南,高楼层/共24层,平层/简装,2004年建/塔楼 ,有,非共有 ,2021年11月27日 
思明,龙山二期安置房,630.0,3室1厅,104.13平米,60502,南北,中楼层/共14层,平层/简装,2007年建/板楼 ,无,非共有 ,2021年11月26日 
思明,莲岳里小区西区,410.0,1室1厅,48.32平米,84851,南北,高楼层/共7层,平层/简装,1990年建/板楼 ,无,非共有 ,2021年11月26日 
思明,汇丰家园,438.0,1室1厅,50.79平米,86238,南,中楼层/共11层,平层/精装,2005年建/板楼 ,有,共有 ,2021年11月26日 
思明,国贸信隆城,1000.0,3室2厅,152.54平米,65557,西北,中楼层/共23层,暂无数据/简装,2004年建/塔楼 ,有,非共有 ,2021年11月26日 
思明,福满山庄,686.0,3室2厅,129.53平米,52961,东南南,高楼层/共12层,暂无数据/精装,2005年建/塔楼 ,有,非共有 ,2021年11月26日 
思明,长青路,600.0,3室2厅,98.58平米,60865,南北,高楼层/共7层,平层/简装,板楼 ,无,共有 ,2021年11月26日 
思明,鑫塔水尚,1356.0,4室3厅,158.9平米,85337,东东南,高楼层/共24层,暂无数据/精装,2014年建/塔楼 ,有,非共有 ,2021年11月26日 
思明,电台山,680.0,3室1厅,92.74平米,73324,东南北,中楼层/共5层,平层/精装,1990年建/板楼 ,无,非共有 ,2021年11月26日 
思明,电台山,450.0,2室1厅,58.78平米,76557,南北,中楼层/共6层,平层/简装,1990年建/板楼 ,无,非共有 ,2021年11月26日 
思明,宝成花园,645.0,3室2厅,81.03平米,79601,南北,低楼层/共7层,平层/简装,2005年建/塔楼 ,有,非共有 ,2021年11月26日 
思明,福津大街（风屿路302-320）,55.0,车位,37.4平米,14706,东,地下室/共1层,暂无数据/其他,板楼 ,无,共有 ,2021年11月26日 
思明,万寿阁,673.0,3室1厅,82.68平米,81399,南北,低楼层/共7层,平层/简装,1999年建/板楼 ,无,共有 ,2021年11月26日 
思明,电业花园,570.0,3室2厅,78.92平米,72226,南北,高楼层/共6层,平层/简装,1992年建/板楼 ,无,非共有 ,2021年11月26日 
思明,松柏禾山家园,620.0,3室2厅,92.5平米,67028,南北,高楼层/共7层,平层/简装,2000年建/板楼 ,无,共有 ,2021年11月26日 
思明,厦禾路,485.0,2室1厅,64.75平米,74904,南北,高楼层/共6层,暂无数据/精装,暂无数据 ,无,非共有 ,2021年11月26日 
思明,福满山庄,1080.0,5室2厅,216.59平米,49864,南北,高楼层/共17层,平层/毛坯,2005年建/塔楼 ,有,非共有 ,2021年11月25日 
思明,华侨海景城,1420.0,4室2厅,165.88平米,85605,南西北,中楼层/共36层,平层/简装,2004年建/塔楼 ,有,非共有 ,2021年11月25日 
思明,鼓浪屿内厝澳路,298.0,3室2厅,85.84平米,34716,南北,低楼层/共3层,平层/简装,暂无数据 ,无,非共有 ,2021年11月25日 
思明,嘉盛豪园,695.0,3室1厅,133.84平米,51928,南北,高楼层/共18层,平层/毛坯,2009年建/板楼 ,有,非共有 ,2021年11月25日 
思明,禾祥苑,700.0,2室1厅,97.99平米,71436,南,高楼层/共9层,平层/简装,1998年建/板楼 ,有,非共有 ,2021年11月25日 
思明,翡翠城,420.0,2室1厅,64.52平米,65097,东北,中楼层/共12层,平层/精装,2008年建/板塔结合 ,有,非共有 ,2021年11月25日 
思明,侨福城侨龙里,600.0,3室2厅,108.89平米,55102,南北,低楼层/共11层,暂无数据/简装,2005年建/板楼 ,有,共有 ,2021年11月25日 
思明,前埔北区二里,520.0,3室2厅,106.14平米,48992,南北,中楼层/共11层,平层/简装,2001年建/板楼 ,有,非共有 ,2021年11月25日 
思明,燃料花园,505.0,3室2厅,77.21平米,65407,北南东,中楼层/共6层,平层/精装,板楼 ,无,非共有 ,2021年11月25日 
思明,华星大厦,350.0,2室1厅,129.15平米,27101,西南,中楼层/共19层,平层/简装,塔楼 ,有,共有 ,2021年11月25日 
思明,御景豪庭,1200.0,3室1厅,151.27平米,79329,南北,高楼层/共34层,暂无数据/精装,2004年建/塔楼 ,有,非共有 ,2021年11月25日 
思明,天鹭大厦,1650.0,3室2厅,140.98平米,117038,东北,中楼层/共33层,暂无数据/精装,2000年建/塔楼 ,有,非共有 ,2021年11月25日 
