户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
4室2厅,低楼层/共48层,120,暂无数据/其他,96.0,中国普天中央国际·书香里,云岩区,东,有,2021年12月18日 ,普通住宅 ,8000
3室2厅,低楼层/共32层,116,暂无数据/精装,105.0,万科悦城,云岩区,南,有,2021年12月18日 ,普通住宅 ,9052
3室2厅,低楼层/共33层,115.85,暂无数据/精装,165.0,万科富中翡翠传奇森林公园,云岩区,南北,有,2021年12月18日 ,普通住宅 ,14243
3室2厅,低楼层/共32层,90,暂无数据/其他,98.0,保利·云山国际,云岩区,东南,有,2021年12月18日 ,普通住宅 ,10889
2室2厅,中楼层/共11层,106.8,暂无数据/精装,90.0,贝地卢加诺,云岩区,东南,无,2021年12月18日 ,普通住宅 ,8427
1室1厅,低楼层/共35层,54.89,平层/其他,35.0,渔安新城E组团,云岩区,南,有,2021年12月18日 ,普通住宅 ,6377
3室1厅,高楼层/共8层,90.23,平层/其他,60.0,百灵小区,云岩区,南,无,2021年12月18日 ,普通住宅 ,6650
3室2厅,高楼层/共34层,89,暂无数据/精装,110.0,万科玲珑湾,云岩区,西南,有,2021年12月18日 ,普通住宅 ,12360
2室1厅,高楼层/共31层,60.2,暂无数据/其他,35.0,中天甜蜜小镇6组团,云岩区,南,有,2021年12月18日 ,普通住宅 ,5814
3室2厅,中楼层/共32层,131.5,平层/其他,145.0,未来方舟D15组团,云岩区,东南,有,2021年12月18日 ,普通住宅 ,11027
3室2厅,中楼层/共6层,136,暂无数据/精装,155.0,未来方舟H7组团,云岩区,北南,有,2021年12月18日 ,普通住宅 ,11398
3室1厅,高楼层/共9层,89,暂无数据/其他,86.0,小康苑,云岩区,南,无,2021年12月18日 ,普通住宅 ,9663
1室1厅,中楼层/共8层,45,平层/精装,31.8,四川巷,云岩区,东北,无,2021年12月18日 ,普通住宅 ,7067
2室2厅,高楼层/共18层,71,平层/简装,47.0,天骄北苑,云岩区,东南,有,2021年12月18日 ,普通住宅 ,6620
3室2厅,低楼层/共32层,92.7,平层/精装,103.0,万科富中翡翠传奇森林公园,云岩区,东南东北,无,2021年12月18日 ,普通住宅 ,11112
2室1厅,高楼层/共9层,72,暂无数据/简装,57.0,省医宿舍,云岩区,南,无,2021年12月18日 ,普通住宅 ,7917
4室2厅,低楼层/共33层,134,暂无数据/精装,155.0,未来方舟G1组团,云岩区,南,有,2021年12月18日 ,普通住宅 ,11568
1室0厅,低楼层/共8层,23,平层/其他,39.8,升远文化市场,云岩区,西,无,2021年12月18日 ,普通住宅 ,17305
2室2厅,中楼层/共31层,52.56,暂无数据/其他,66.0,中天未来方舟D4组团,云岩区,西南,有,2021年12月18日 ,普通住宅 ,12558
2室2厅,中楼层/共8层,63.75,暂无数据/其他,57.0,宅吉小区,云岩区,南北,无,2021年12月18日 ,普通住宅 ,8942
5室3厅,高楼层/共37层,210.5,暂无数据/其他,140.0,金狮小区狮子组团,云岩区,南,无,2021年12月17日 ,普通住宅 ,6651
2室2厅,高楼层/共34层,66.6,暂无数据/其他,65.0,万科城A区,云岩区,南,有,2021年12月17日 ,普通住宅 ,9760
3室2厅,高楼层/共34层,108,暂无数据/其他,79.0,中国普天中央国际,云岩区,南,有,2021年12月17日 ,普通住宅 ,7315
2室1厅,高楼层/共7层,65,平层/其他,49.6,达兴花园,云岩区,南,无,2021年12月17日 ,普通住宅 ,7631
2室2厅,中楼层/共33层,81,暂无数据/精装,90.0,熙山郡,云岩区,南北,无,2021年12月17日 ,普通住宅 ,11112
2室1厅,中楼层/共8层,69.59,暂无数据/其他,56.0,五柳小区,云岩区,南,无,2021年12月17日 ,普通住宅 ,8048
2室1厅,高楼层/共38层,57,暂无数据/简装,94.0,万科公园5号,云岩区,东南南西北,有,2021年12月17日 ,普通住宅 ,16492
3室2厅,低楼层/共48层,85,暂无数据/毛坯,75.0,中国普天中央国际·书香里,云岩区,南,无,2021年12月17日 ,普通住宅 ,8824
3室2厅,低楼层/共34层,78,暂无数据/其他,70.0,万科城A区,云岩区,东南,有,2021年12月17日 ,普通住宅 ,8975
4室1厅,中楼层/共6层,121.59,平层/其他,82.0,佳居苑,云岩区,东南,无,2021年12月17日 ,普通住宅 ,6744
1室1厅,低楼层/共8层,39.31,暂无数据/其他,43.0,通衢街2号,云岩区,东南,无,2021年12月17日 ,普通住宅 ,10939
2室1厅,高楼层/共8层,60,暂无数据/简装,75.0,省府东街14号院,云岩区,北,无,2021年12月17日 ,普通住宅 ,12500
2室1厅,高楼层/共9层,76,暂无数据/其他,60.0,平安小区,云岩区,南,无,2021年12月17日 ,普通住宅 ,7895
4室2厅,中楼层/共8层,80,平层/精装,72.0,慈庵巷52号,云岩区,东北,无,2021年12月17日 ,普通住宅 ,9000
2室1厅,中楼层/共6层,52.21,平层/其他,66.0,圆通街16号,云岩区,东南,无,2021年12月17日 ,普通住宅 ,12642
4室2厅,中楼层/共8层,168,暂无数据/其他,135.0,友谊花园,云岩区,东南,无,2021年12月17日 ,普通住宅 ,8036
3室2厅,高楼层/共32层,89.9,暂无数据/精装,90.0,未来方舟H1组团,云岩区,东南,有,2021年12月17日 ,普通住宅 ,10012
4室2厅,高楼层/共48层,121.06,平层/毛坯,103.0,中国普天中央国际·书香里,云岩区,南,无,2021年12月17日 ,普通住宅 ,8509
5室2厅,低楼层/共28层,288,暂无数据/毛坯,398.0,未来方舟G6组团,云岩区,南,有,2021年12月17日 ,普通住宅 ,13820
2室1厅,低楼层/共7层,53.43,平层/精装,41.6,百花巷23号,云岩区,南北,无,2021年12月17日 ,普通住宅 ,7786
3室2厅,中楼层/共38层,130,暂无数据/其他,135.0,中建华府,云岩区,北,有,2021年12月17日 ,普通住宅 ,10385
3室2厅,中楼层/共7层,95.94,暂无数据/简装,72.0,云阳佳苑,云岩区,东南,无,2021年12月17日 ,普通住宅 ,7505
2室1厅,低楼层/共35层,60.66,暂无数据/精装,40.0,渔安新城E组团,云岩区,东南,有,2021年12月17日 ,普通住宅 ,6595
2室1厅,中楼层/共18层,62.3,平层/其他,55.0,兴隆枫丹白鹭城市花园白鹭洲,云岩区,东,有,2021年12月17日 ,普通住宅 ,8829
3室2厅,高楼层/共48层,85,平层/毛坯,65.0,中国普天中央国际·书香里,云岩区,南,有,2021年12月17日 ,普通住宅 ,7648
4室1厅,低楼层/共39层,150,平层/其他,160.0,中央公园,云岩区,南,有,2021年12月17日 ,普通住宅 ,10667
4室2厅,低楼层/共48层,119.68,平层/毛坯,88.0,中国普天中央国际·书香里,云岩区,南,有,2021年12月17日 ,普通住宅 ,7353
3室2厅,高楼层/共33层,128,暂无数据/其他,128.0,未来方舟E1组团（斯美郡）,云岩区,东南,有,2021年12月17日 ,普通住宅 ,10000
1室1厅,中楼层/共8层,42,平层/其他,37.8,桂月巷,云岩区,南北,无,2021年12月17日 ,普通住宅 ,9000
2室1厅,低楼层/共37层,74,暂无数据/简装,70.0,中建华府(鹿冲关路),云岩区,东南,有,2021年12月17日 ,普通住宅 ,9460
3室2厅,中楼层/共44层,123,暂无数据/精装,90.0,花果园X区,云岩区,南北,有,2021年12月17日 ,普通住宅 ,7318
2室2厅,低楼层/共6层,72,暂无数据/其他,56.0,鸿源居,云岩区,东南,无,2021年12月17日 ,普通住宅 ,7778
3室2厅,中楼层/共7层,124.77,平层/简装,95.0,市西路7号,云岩区,东南,无,2021年12月16日 ,普通住宅 ,7615
2室1厅,中楼层/共38层,60,暂无数据/其他,58.0,中天甜蜜小镇2组团,云岩区,南北,无,2021年12月16日 ,普通住宅 ,9667
3室1厅,高楼层/共40层,57,平层/精装,57.2,中建华府（松柏路）,云岩区,东南,有,2021年12月16日 ,普通住宅 ,10036
2室2厅,中楼层/共23层,75.84,暂无数据/其他,78.0,天誉城,云岩区,南北,有,2021年12月16日 ,普通住宅 ,10285
2室1厅,高楼层/共35层,61,暂无数据/精装,43.8,渔安新城E组团,云岩区,东南,有,2021年12月16日 ,普通住宅 ,7181
2室2厅,低楼层/共34层,92.27,暂无数据/精装,100.0,保利·云山国际,云岩区,东,有,2021年12月16日 ,普通住宅 ,10838
4室2厅,低楼层/共48层,116.99,暂无数据/其他,108.0,中国普天中央国际,云岩区,南,有,2021年12月16日 ,普通住宅 ,9232
2室1厅,中楼层/共8层,62.3,平层/简装,70.0,百草巷12号,云岩区,南西南,无,2021年12月16日 ,普通住宅 ,11236
4室2厅,高楼层/共6层,154,平层/简装,140.0,蔡家街51号,云岩区,东南,无,2021年12月16日 ,普通住宅 ,9091
3室2厅,低楼层/共33层,118,暂无数据/精装,130.0,未来方舟G1组团,云岩区,南,有,2021年12月16日 ,普通住宅 ,11017
3室2厅,高楼层/共31层,96,暂无数据/毛坯,100.0,未来方舟D17组团,云岩区,东南,有,2021年12月16日 ,普通住宅 ,10417
2室1厅,高楼层/共9层,54,暂无数据/其他,50.0,香狮苑,云岩区,东东南,无,2021年12月16日 ,普通住宅 ,9260
1室1厅,高楼层/共7层,48.5,平层/其他,39.8,陕西路111号,云岩区,南,无,2021年12月16日 ,普通住宅 ,8207
2室1厅,高楼层/共7层,55.17,暂无数据/简装,50.0,国水电九局,云岩区,东南,无,2021年12月16日 ,普通住宅 ,9063
2室1厅,中楼层/共9层,74.5,暂无数据/其他,59.0,新联小区,云岩区,东南,无,2021年12月16日 ,普通住宅 ,7920
1室1厅,中楼层/共36层,55,平层/其他,30.8,中天甜蜜小镇2组团,云岩区,东南,有,2021年12月16日 ,普通住宅 ,5600
2室1厅,低楼层/共35层,60.85,平层/其他,42.0,中天甜蜜小镇2组团,云岩区,东南西北,有,2021年12月16日 ,普通住宅 ,6903
2室1厅,中楼层/共8层,49,平层/其他,39.0,登高小区,云岩区,东南,无,2021年12月16日 ,普通住宅 ,7960
3室1厅,中楼层/共40层,106,平层/精装,165.0,银海元隆广场B区,云岩区,南,有,2021年12月16日 ,普通住宅 ,15567
3室2厅,中楼层/共7层,72,平层/其他,68.0,石油小区(云岩区),云岩区,东南,无,2021年12月16日 ,普通住宅 ,9445
4室2厅,中楼层/共8层,84.33,平层/其他,65.0,世纪园,云岩区,东南,无,2021年12月16日 ,普通住宅 ,7708
3室2厅,高楼层/共6层,64.41,暂无数据/其他,51.9,新添大道南段18号,云岩区,东南西北,无,2021年12月16日 ,普通住宅 ,8058
4室3厅,高楼层/共6层,188.1,暂无数据/其他,200.0,北新区路43号,云岩区,东南,无,2021年12月16日 ,普通住宅 ,10633
2室1厅,中楼层/共29层,83.58,平层/简装,105.0,恒峰步行街,云岩区,东南,有,2021年12月16日 ,普通住宅 ,12563
