区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
同安,中联观云溪,234.6,3室2厅,108.18平米,21687,东南 南,中楼层/共16层,平层/简装,"暂无数据
                      ",有,"非共有
                                                                            ","2021年04月05日
                                                                            "
同安,禹洲香溪里7#地块,95.0,1室1厅,45.81平米,20738,北,中楼层/共24层,暂无数据/毛坯,"2016年建/板楼
                          ",有,"共有
                                                                            ","2021年12月15日
                                                                            "
同安,保利叁仟栋二期,160.0,1室1厅,47.24平米,33870,东南,低楼层/共33层,平层/精装,"板塔结合
                      ",有,"非共有
                                                                            ","2021年12月15日
                                                                            "
同安,东山下间里,520.0,7室3厅,273.81平米,18992,南 北 东,低楼层/共3层,暂无数据/精装,"2012年建/暂无数据
                          ",,"非共有
                                                                            ","2021年12月15日
                                                                            "
同安,长荣花园,218.0,3室2厅,90.16平米,24180,东南,中楼层/共17层,平层/简装,"2013年建/板楼
                          ",有,"非共有
                                                                            ","2021年11月03日
                                                                            "
同安,金都海尚国际,483.0,3室2厅,141.87平米,34046,南 北,低楼层/共38层,平层/精装,"2015年建/板塔结合
                          ",有,"共有
                                                                            ","2021年12月15日
                                                                            "
同安,金利蓝湾新城,198.0,3室2厅,92.79平米,21339,南 北,低楼层/共18层,平层/其他,"2010年建/板楼
                          ",,"共有
                                                                            ","2021年12月14日
                                                                            "
同安,特房银溪春墅,199.0,2室2厅,82.04平米,24257,南,低楼层/共30层,暂无数据/精装,"2015年建/板塔结合
                          ",,"非共有
                                                                            ","2021年12月14日
                                                                            "
同安,城西一里,119.0,3室1厅,73.45平米,16202,北,高楼层/共5层,平层/简装,"暂无数据
                      ",,"非共有
                                                                            ","2021年10月27日
                                                                            "
同安,唐鸣祥福花园,190.0,3室2厅,123.11平米,15434,南,中楼层/共7层,平层/简装,"2005年建/板楼
                          ",,"非共有
                                                                            ","2021年10月21日
                                                                            "
同安,新景舜弘上院,371.0,4室2厅,170.03平米,21820,西南,低楼层/共30层,复式/毛坯,"板楼
                      ",,"共有
                                                                            ","2021年10月21日
                                                                            "
同安,银华新村,82.0,2室1厅,52.89平米,15504,南 北,高楼层/共6层,暂无数据/精装,"暂无数据
                      ",,"非共有
                                                                            ","2021年10月20日
                                                                            "
