职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
大数据架构师（南山）,深圳-南山区|3-4年经验|本科|招1人,深圳科卫机器人科技有限公司,互联网/电子商务,500-1000人,民营公司,五险一金 餐饮补贴 周末双休 带薪年假 法定假日,2-3.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136056462.html?s=sou_sou_soulb&t=0_0
大数据研发工程师,深圳-南山区|5-7年经验|本科|招1人,深圳瑞为智能科技有限公司,计算机软件,150-500人,民营公司,周末双休 弹性工作 带薪年假 五险一金 节日福利 高温补贴,2.5-3.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/132450016.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-南山区|3-4年经验|大专|招1人,深圳市优阅达数据科技有限公司,计算机软件,50-150人,民营公司,五险一金 专业培训 员工旅游 年终奖金 通讯补贴 弹性工作 补充医疗保险 定期体检 绩效奖金,1.2-2.4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/133981050.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-福田区|5-7年经验|本科|招1人,深圳市嘉立创科技发展有限公司,计算机软件,5000-10000人,民营公司,五险一金 节日福利 专业培训 带薪年假,4-6万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134724097.html?s=sou_sou_soulb&t=0_0
Flink大数据开发（龙华）,深圳-龙华区|5-7年经验|本科|招2人,广东利元亨智能装备股份有限公司,计算机软件,1000-5000人,民营公司,五险一金 弹性工作 股票期权 绩效奖金 专业培训 员工旅游,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen-lhq/135949943.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-南山区|3-4年经验|本科|招2人,深圳市易图资讯股份有限公司,房地产,150-500人,国企,绩效奖金 年终奖金 餐饮补贴 国企规范管理 五险一金 补充医疗保险 通讯补贴,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134958912.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳|无需经验|本科|招3人,万宝盛华企业管理咨询（上海）有限公司浦东分公司,中介服务,1000-5000人,外资（欧美）,节日福利 五险一金 做五休二 免费班车 专业培训 餐饮补贴 年终奖金 定期体检 补充医疗保险,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen/135565340.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,深圳十方融海科技有限公司,教育/培训/院校,500-1000人,民营公司,五险一金 餐饮补贴 专业培训 弹性工作 绩效奖金 年终奖金,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen-nsq/130568472.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|大专|招3人,信必优(深圳)信息技术有限公司,计算机软件,1000-5000人,外资（欧美）,五险一金 补充医疗保险 定期体检 年终奖金,1.8-2.3万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136022649.html?s=sou_sou_soulb&t=0_0
100强通讯公司#大数据工程师#,深圳-龙岗区|2年经验|本科|招2人,万宝盛华企业管理咨询（上海）有限公司,计算机软件,10000人以上,上市公司,,1.2-2万/月,11-02,https://jobs.51job.com/shenzhen-lgq/119960858.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-宝安区|5-7年经验|本科|招2人,深圳市尚夏实业有限公司,计算机软件,,民营公司,五险一金 绩效奖金 年终奖金,2.5-3万/月,11-02,https://jobs.51job.com/shenzhen-baq/132771836.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招若干人,深圳市睿服科技有限公司,计算机软件,500-1000人,民营公司,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/125350710.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|大专|招1人,大连亿达信息技术有限公司深圳分公司,计算机软件,500-1000人,民营公司,五险一金 公积金 员工旅游 定期体检,1-1.8万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135762967.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-光明区|3-4年经验|本科|招3人,深圳市证通电子股份有限公司,电子技术/半导体/集成电路,1000-5000人,上市公司,五险一金 员工旅游 绩效奖金 定期体检 补充医疗保险 商业保险,1.3-2.2万/月,11-02,https://jobs.51job.com/shenzhen-gmq/128188835.html?s=sou_sou_soulb&t=0_0
大数据算法工程师,深圳-宝安区|3-4年经验|本科|招1人,碧兴物联科技（深圳）股份有限公司,环保,500-1000人,民营公司,五险一金 餐饮补贴 通讯补贴 交通补贴 定期体检 年终奖金,2-2.8万/月,11-02,https://jobs.51job.com/shenzhen-baq/133337478.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招若干人,深圳西杰信息技术有限公司,计算机软件,50-150人,民营公司,,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/129005932.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-福田区|2年经验|本科|招若干人,深圳长城开发科技股份有限公司,计算机硬件,10000人以上,国企,五险一金 餐饮补贴 专业培训 年终奖金 提供住宿 周末双休,3-5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134361936.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-宝安区|2年经验|大专|招2人,深圳市新云计算科技有限公司,计算机软件,少于50人,民营公司,弹性工作 股票期权 年终奖金,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen-baq/136047131.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招1人,深圳市紫川软件有限公司,计算机软件,500-1000人,民营公司,五险一金 员工旅游 定期体检 全勤家 生日福利 春节路费报销 法定节假日 祝寿礼金 过节费,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/115441394.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|5-7年经验|大专|招1人,京北方信息技术股份有限公司,外包服务,10000人以上,民营公司,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 定期体检,1.9-2.3万/月,11-02,https://jobs.51job.com/shenzhen-ftq/136153545.html?s=sou_sou_soulb&t=0_0
资深大数据研发工程师-数据治理方向,深圳|5-7年经验|本科|招5人,字节跳动,互联网/电子商务,10000人以上,民营公司,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,4-6万/月,11-02,https://jobs.51job.com/shenzhen/135453397.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|2年经验|本科|招1人,深圳市保利物业管理集团有限公司,物业管理/商业中心,1000-5000人,民营公司,五险一金 通讯补贴 绩效奖金 年终奖金,1.5-2万/月,11-01,https://jobs.51job.com/shenzhen-nsq/122739214.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-宝安区|3-4年经验|本科|招1人,深圳万顺叫车云信息技术有限公司,交通/运输/物流,500-1000人,民营公司,五险一金 餐饮补贴 交通补贴 绩效奖金 定期体检 下午茶 提供住宿,1.5-2万/月,11-01,https://jobs.51job.com/shenzhen-baq/132049895.html?s=sou_sou_soulb&t=0_0
大数据分析助理工程师实习生,深圳-宝安区|无需经验|本科|招3人,深圳市富成喜科技有限公司,计算机软件,,民营公司,,0.8-1万/月,11-01,https://jobs.51job.com/shenzhen-baq/135812563.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,万科集团物业事业部,物业管理/商业中心,500-1000人,国企,餐饮补贴 交通补贴 通讯补贴 弹性工作 定期体检 年终奖金,1.5-3万/月,11-01,https://jobs.51job.com/shenzhen-nsq/135206785.html?s=sou_sou_soulb&t=0_0
大数据平台研发工程师(J10199),深圳-龙岗区|2年经验|本科|招1人,富德保险控股股份有限公司,保险,10000人以上,民营公司,五险一金 补充医疗保险 员工旅游 通讯补贴 餐饮补贴 交通补贴 年终奖金 定期体检,15-20万/年,11-01,https://jobs.51job.com/shenzhen-lgq/129905641.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招若干人,荣耀终端有限公司,计算机软件,5000-10000人,民营公司,五险一金 年终奖金 绩效奖金 股票期权 弹性工作 定期体检,3-4万/月,11-01,https://jobs.51job.com/shenzhen-ftq/134998566.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招2人,深圳市赢和信息技术有限公司,计算机软件,150-500人,民营公司,,1.1-1.5万/月,11-01,https://jobs.51job.com/shenzhen-ftq/123187510.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-南山区|3-4年经验|本科|招2人,天虹数科商业股份有限公司,批发/零售,10000人以上,上市公司,五险一金 餐饮补贴 绩效奖金,1.3-2.3万/月,11-01,https://jobs.51job.com/shenzhen-nsq/94274681.html?s=sou_sou_soulb&t=0_0
大数据开发-英语读写-在家办公,上海|5-7年经验|大专|招若干人,成都迈思信息技术有限公司,计算机软件,150-500人,民营公司,五险一金 绩效奖金 年终奖金,3-4万/月,11-01,https://jobs.51job.com/shanghai-pdxq/135614820.html?s=sou_sou_soulb&t=0_1
高级大数据平台开发工程师（研究开发部）,深圳-福田区|5-7年经验|本科|招若干人,中电科新型智慧城市研究院有限公司,计算机服务(系统、数据服务、维修),150-500人,国企,五险一金 餐饮补贴 出国机会 绩效奖金 年终奖金 定期体检 通讯补贴 专业培训,2-3万/月,11-01,https://jobs.51job.com/shenzhen-ftq/136085384.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招若干人,联易融数字科技集团有限公司,金融/投资/证券,500-1000人,民营公司,,30-55万/年,11-01,https://jobs.51job.com/shenzhen-nsq/135900692.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招2人,百丽集团体育事业总部,批发/零售,10000人以上,外资（非欧美）,,2.5-3万/月,11-01,https://jobs.51job.com/shenzhen-nsq/131735212.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招2人,新百丽鞋业（深圳）有限公司武汉分公司,批发/零售,500-1000人,民营公司,,1.8-3万/月,11-01,https://jobs.51job.com/shenzhen-nsq/130717981.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|2年经验|本科|招1人,紫藤知识产权运营（深圳）有限公司,专业服务(咨询、人力资源、财会),150-500人,民营公司,,1.5-2万/月,11-01,https://jobs.51job.com/shenzhen-nsq/135145339.html?s=sou_sou_soulb&t=0_0
大数据工程师 (MJ000224),深圳-南山区|3-4年经验|本科|招2人,深圳素士科技股份有限公司,计算机软件,500-1000人,民营公司,弹性工作 五险一金 专业培训 绩效奖金 免费零食 定期活动 职位晋升,1.5-2.5万/月,11-01,https://jobs.51job.com/shenzhen-nsq/136098292.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-龙华区|1年经验|本科|招2人,富士康科技集团采购服务总处,电子技术/半导体/集成电路,10000人以上,外资（非欧美）,,6-8千/月,11-01,https://jobs.51job.com/shenzhen-lhq/103200761.html?s=sou_sou_soulb&t=0_0
大数据开发架构师（物联网方向）,深圳-龙华区|5-7年经验|本科|招若干人,深圳市鸿普森科技股份有限公司,计算机服务(系统、数据服务、维修),50-150人,上市公司,五险一金 免费班车 员工旅游 年终奖金 绩效奖金 定期体检 专业培训 交通补贴 通讯补贴 全勤奖,2-2.5万/月,11-01,https://jobs.51job.com/shenzhen-lhq/135526840.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招2人,深圳市宏正道科技有限公司,通信/电信/网络设备,50-150人,民营公司,五险一金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 交通补贴 员工旅游 专业培训 免费班车 补充医疗保险,1.5-2万/月,11-01,https://jobs.51job.com/shenzhen-nsq/135748938.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳|3-4年经验|本科|招若干人,苏州工业园区凌志软件股份有限公司,计算机软件,1000-5000人,民营公司,五险一金 定期体检 年终奖金 绩效奖金 员工旅游,1.2-1.5万/月,11-01,https://jobs.51job.com/shenzhen/129147942.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招2人,深圳市中瑞恒管理策划有限公司,专业服务(咨询、人力资源、财会),50-150人,民营公司,员工旅游 绩效奖金 专业培训 年终奖金 五险一金 通讯补贴 餐饮补贴 定期体检,0.8-1.2万/月,11-01,https://jobs.51job.com/shenzhen-nsq/132819733.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|2年经验|本科|招1人,深圳达实智能股份有限公司,计算机服务(系统、数据服务、维修),1000-5000人,上市公司,五险一金 定期体检 节日福利 带薪年假 周末双休 上市公司 绩效奖金,1.2-1.8万/月,11-01,https://jobs.51job.com/shenzhen-nsq/133398383.html?s=sou_sou_soulb&t=0_0
大数据监控员,佛山|3-4年经验|本科|招2人,佛山市清极能源科技有限公司,新能源,少于50人,民营公司,五险一金 周末双休 带薪年假 定期体检,8-12万/年,11-01,https://jobs.51job.com/foshan/135176178.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳-宝安区|1年经验|大专|招1人,康美药业股份有限公司,制药/生物工程,5000-10000人,民营公司,五险一金 专业培训 定期体检 员工食堂,1-2万/月,11-01,https://jobs.51job.com/shenzhen-baq/135048196.html?s=sou_sou_soulb&t=0_0
大数据分析助理工程师实习生,深圳-宝安区|无需经验|大专|招3人,深圳市博瑞纳电子商务有限公司,计算机软件,少于50人,民营公司,五险一金 补充公积金 免费班车 员工旅游 定期体检 绩效奖金 年终奖金,6-8千/月,10-30,https://jobs.51job.com/shenzhen-baq/134256255.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|1年经验|本科|招若干人,深圳市中悦科技有限公司,计算机软件,50-150人,民营公司,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 轻松下午茶 节假日福利 定期员工活动,1.2-2万/月,10-30,https://jobs.51job.com/shenzhen-lgq/126159892.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招若干人,博彦科技广州有限公司,计算机软件,,民营公司,五险一金 年终奖金 周末双休 带薪年假 节日福利,1.2-1.8万/月,10-30,https://jobs.51job.com/shenzhen-ftq/136063871.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招3人,武汉佰钧成技术有限责任公司,计算机软件,10000人以上,民营公司,五险一金 绩效奖金 专业培训 周末双休 带薪年假 节假日礼品,1.4-1.8万/月,10-30,https://jobs.51job.com/shenzhen-nsq/135732018.html?s=sou_sou_soulb&t=0_0
121083高级大数据开发工程师,深圳-南山区|2年经验|本科|招若干人,深圳市大疆创新科技有限公司,电子技术/半导体/集成电路,10000人以上,民营公司,五险一金 免费班车 年终奖金 弹性工作 股票期权 定期体检 餐饮补贴 绩效奖金 交通补贴 员工旅游,1.8-3.6万/月,10-29,https://jobs.51job.com/shenzhen-nsq/119593942.html?s=sou_sou_soulb&t=0_0
资深大数据产品架构师,广州|10年以上经验|本科|招若干人,深圳市宸臻科技有限公司,电子技术/半导体/集成电路,少于50人,民营公司,五险一金 节日福利,3-4万/月,10-29,https://jobs.51job.com/guangzhou-thq/135766602.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳|3-4年经验|本科|招1人,比亚迪股份有限公司,汽车,10000人以上,民营公司,带薪年假 五险一金 专业培训 周末双休 福利房 话补 节日福利 新能源车补贴,1.2-2万/月,10-29,https://jobs.51job.com/shenzhen/127519418.html?s=sou_sou_soulb&t=0_0
软件工程师（大数据分析）(J10487),无锡|2年经验|本科|招若干人,无锡先导智能装备股份有限公司,仪器仪表/工业自动化,10000人以上,上市公司,五险一金 绩效奖金 年终奖金 定期体检 上市公司 免费食堂 调休制度 定期团建 节日礼品 专业培训,1.2-2.4万/月,10-29,https://jobs.51job.com/wuxi/134432624.html?s=sou_sou_soulb&t=0_1
大数据处理工程师,深圳-宝安区|3-4年经验|本科|招1人,深圳市奇信集团股份有限公司,建筑/建材/工程,1000-5000人,上市公司,五险一金 员工旅游 包餐 定期体检 年终奖金 绩效奖金,1.2-2万/月,10-29,https://jobs.51job.com/shenzhen-baq/126387936.html?s=sou_sou_soulb&t=0_0
JAVA大数据开发助理主任工程师,深圳-南山区|3-4年经验|本科|招1人,深圳市颖创科技有限公司,计算机软件,,民营公司,五险一金 年终奖金 绩效奖金,2-2.5万/月,10-29,https://jobs.51job.com/shenzhen-nsq/135227647.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|3-4年经验|本科|招若干人,深圳市中农数据有限公司,互联网/电子商务,少于50人,国企,五险一金 定期体检 节日福利 集体旅游 专业培训 带薪年假 周末双休 餐饮补贴 年终奖金,1.5-2万/月,10-29,https://jobs.51job.com/shenzhen-lgq/122732938.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,深圳市富士智能系统有限公司,计算机服务(系统、数据服务、维修),150-500人,民营公司,周末双休 带薪年假 五险一金 包住宿 绩效奖金 节日福利 交通补贴 通讯补贴 每月物质福利,1.8-2.5万/月,10-29,https://jobs.51job.com/shenzhen-nsq/131227772.html?s=sou_sou_soulb&t=0_0
大数据开发组组长/技术专家,深圳-龙岗区|5-7年经验|本科|招1人,深圳市特品商务科技有限责任公司,互联网/电子商务,少于50人,民营公司,,2.5-3万/月,10-29,https://jobs.51job.com/shenzhen-lgq/132854567.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳|3-4年经验|大专|招10人,嘉环科技股份有限公司,通信/电信/网络设备,5000-10000人,民营公司,五险一金 通讯补贴 专业培训 绩效奖金 导师带教 交通补贴 定期体检,1-2万/月,10-29,https://jobs.51job.com/shenzhen/134999135.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-龙华区|1年经验|本科|招2人,富泰华工业（深圳）有限公司,互联网/电子商务,10000人以上,合资,五险一金 定期体检 弹性工作 绩效奖金,0.7-1.4万/月,10-29,https://jobs.51job.com/shenzhen-lhq/129901873.html?s=sou_sou_soulb&t=0_0
Python大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,星宸科技股份有限公司,电子技术/半导体/集成电路,500-1000人,外资（非欧美）,,1-1.5万/月,10-29,https://jobs.51job.com/shenzhen-nsq/136038272.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|2年经验|大专|招1人,深圳市史蒂科技有限公司,计算机软件,50-150人,民营公司,,1.5-2万/月,10-29,https://jobs.51job.com/shenzhen-nsq/136036647.html?s=sou_sou_soulb&t=0_0
大数据平台开发工程师,深圳-南山区|2年经验|硕士|招若干人,鹏城实验室,学术/科研,1000-5000人,事业单位,,2-4万/月,10-28,https://jobs.51job.com/shenzhen-nsq/131045707.html?s=sou_sou_soulb&t=0_0
大数据工程师,深圳-宝安区|3-4年经验|本科|招2人,南京畅索软件科技有限公司,互联网/电子商务,500-1000人,民营公司,五险一金 补充医疗保险 交通补贴 餐饮补贴 绩效奖金 弹性工作 定期体检 专业培训 通讯补贴 年终奖金,1.8-2.6万/月,10-28,https://jobs.51job.com/shenzhen-baq/133458226.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招5人,深圳市卓越方达科技有限公司,计算机软件,50-150人,民营公司,五险一金 补充医疗保险 补充公积金 专业培训 弹性工作 年终奖金 绩效奖金,2-3万/月,10-28,https://jobs.51job.com/shenzhen-ftq/128660988.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-龙岗区|5-7年经验|本科|招2人,长城物业集团股份有限公司,多元化业务集团公司,10000人以上,民营公司,,2-2.5万/月,10-28,https://jobs.51job.com/shenzhen-lgq/135439774.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|2年经验|本科|招3人,上海携银信息科技有限公司,计算机软件,150-500人,民营公司,五险一金 员工旅游 年终奖金 绩效奖金 弹性工作 餐饮补贴,1.2-1.8万/月,10-28,https://jobs.51job.com/shenzhen-nsq/125524121.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招5人,深圳市赢胜数据科技有限公司,计算机软件,150-500人,民营公司,,1.5-2万/月,10-28,https://jobs.51job.com/shenzhen-ftq/135235049.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳-南山区|3-4年经验|本科|招若干人,深圳传音控股股份有限公司,通信/电信/网络设备,10000人以上,民营公司,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检 绩效奖金 出国机会,2-4万/月,10-28,https://jobs.51job.com/shenzhen-nsq/130842251.html?s=sou_sou_soulb&t=0_0
大数据系统研发工程师,长沙|5-7年经验|硕士|招1人,湖南湘江智能科技创新中心有限公司,计算机服务(系统、数据服务、维修),150-500人,国企,,15-25万/年,10-27,https://jobs.51job.com/changsha/135904243.html?s=sou_sou_soulb&t=0_1
大数据开发工程师,深圳-南山区|5-7年经验|本科|招10人,京北方信息技术股份有限公司-深圳分公司,计算机服务(系统、数据服务、维修),10000人以上,民营公司,五险一金 员工旅游 餐饮补贴 绩效奖金,2-2.5万/月,10-27,https://jobs.51job.com/shenzhen-nsq/133345863.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|大专|招4人,深圳威豹恒瑞数字科技股份有限公司,计算机服务(系统、数据服务、维修),50-150人,民营公司,五险一金 年终奖金 定期体检 生日福利 带薪年假 周末双休,2-3万/月,10-27,https://jobs.51job.com/shenzhen-nsq/131142157.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳|3-4年经验|本科|招3人,深圳市中地软件工程有限公司,计算机软件,50-150人,民营公司,五险一金 员工旅游 通讯补贴 定期体检 周末双休 带薪年假 节日福利 高温补贴,1.8-3万/月,10-27,https://jobs.51job.com/shenzhen/133799883.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳-南山区|8-9年经验|本科|招1人,深圳回收宝科技有限公司,互联网/电子商务,500-1000人,合资,五险一金 专业培训 绩效奖金 年终奖金 定期体检 节日福利 全勤奖,3-4万/月,10-27,https://jobs.51job.com/shenzhen-nsq/132297137.html?s=sou_sou_soulb&t=0_0
大数据开发（线上面试，珠海上班，有房补1000元）,深圳-南山区|2年经验|大专|招5人,深圳市智慧盾科技有限公司,计算机软件,50-150人,民营公司,五险一金 员工旅游 带薪年假 年终奖金 大型节日补贴,1.2-2万/月,10-27,https://jobs.51job.com/shenzhen-nsq/136024371.html?s=sou_sou_soulb&t=0_0
大数据架构师 (MJ000430),深圳-南山区|5-7年经验|本科|招2人,嘉联支付有限公司,互联网/电子商务,500-1000人,上市公司,五险一金 年终奖金 周末双休,2.5-4.5万/月,10-27,https://jobs.51job.com/shenzhen-nsq/131325767.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-宝安区|2年经验|大专|招2人,广州市讯方信息科技有限公司,计算机软件,150-500人,民营公司,五险一金 交通补贴 绩效奖金 通讯补贴,0.9-1.8万/月,10-26,https://jobs.51job.com/shenzhen-baq/131996955.html?s=sou_sou_soulb&t=0_0
大数据开发工程师-深圳-01514,深圳-南山区|3-4年经验|本科|招1人,任子行网络技术股份有限公司,计算机软件,1000-5000人,上市公司,五险一金 补充医疗保险 专业培训 绩效奖金 年终奖金 全额公积金,1.6-2.5万/月,10-26,https://jobs.51job.com/shenzhen-nsq/132274670.html?s=sou_sou_soulb&t=0_0
大数据开发工程师-Java（SZY1112）,深圳-福田区|3-4年经验|本科|招2人,招银云创信息技术有限公司,计算机软件,1000-5000人,民营公司,五险一金 补充医疗保险 免费班车 绩效奖金 年终奖金 定期体检,1-1.5万/月,10-26,https://jobs.51job.com/shenzhen-ftq/131418762.html?s=sou_sou_soulb&t=0_0
大数据开发（驻场-证券）,深圳-福田区|3-4年经验|本科|招2人,深圳市长亮科技股份有限公司,计算机软件,5000-10000人,上市公司,五险一金 员工旅游 年终奖金 通讯补贴 绩效奖金 专业培训,1.5-2万/月,10-26,https://jobs.51job.com/shenzhen-ftq/136013587.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|1年经验|本科|招1人,深圳市火火兔智慧科技有限公司,互联网/电子商务,150-500人,民营公司,五险一金 餐饮补贴 绩效奖金 年终奖金 员工旅游 定期体检 节日福利,1.4-2万/月,10-26,https://jobs.51job.com/shenzhen-nsq/133305764.html?s=sou_sou_soulb&t=0_0
Java后台开发工程师（偏大数据）,深圳-南山区|3-4年经验|本科|招1人,深圳云天励飞技术有限公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 弹性工作,1.5-2.5万/月,10-26,https://jobs.51job.com/shenzhen-nsq/134741807.html?s=sou_sou_soulb&t=0_0
集团事业部-大数据工程师,深圳-龙华区|2年经验|本科|招若干人,深圳影儿时尚集团有限公司,服装/纺织/皮革,5000-10000人,民营公司,五险一金 免费班车 绩效奖金 年终奖金 专业培训 通讯补贴,1.5-2.5万/月,10-26,https://jobs.51job.com/shenzhen-lhq/131410567.html?s=sou_sou_soulb&t=0_0
大数据迁移,深圳-南山区|3-4年经验|本科|招若干人,深圳华思软件有限公司,计算机软件,50-150人,民营公司,五险一金 餐饮补贴 周末双休 节日福利,1.8-2.3万/月,10-25,https://jobs.51job.com/shenzhen-nsq/135998313.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,格创东智（深圳）科技有限公司,电子技术/半导体/集成电路,500-1000人,民营公司,五险一金 免费班车 绩效奖金 定期体检,1.5-2.5万/月,10-25,https://jobs.51job.com/shenzhen-nsq/135255500.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,天马微电子股份有限公司,电子技术/半导体/集成电路,10000人以上,国企,,1-1.8万/月,10-25,https://jobs.51job.com/shenzhen-nsq/135551353.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-福田区|5-7年经验|本科|招2人,成高成科技集团有限公司,计算机服务(系统、数据服务、维修),150-500人,民营公司,五险一金 股票期权 弹性工作 员工旅游 定期体检,3-4万/月,10-25,https://jobs.51job.com/shenzhen-ftq/134344315.html?s=sou_sou_soulb&t=0_0
中级java开发（大数据）,深圳-福田区|3-4年经验|本科|招5人,上海新晨信息集成系统有限公司,计算机软件,150-500人,上市公司,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检 周末双休 带薪年假 免费班车 节日福利,1-2万/月,10-25,https://jobs.51job.com/shenzhen-ftq/133750287.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|大专|招若干人,上海得逸信息技术有限公司,计算机软件,1000-5000人,民营公司,五险一金 专业培训,1-1.5万/月,10-24,https://jobs.51job.com/shenzhen-ftq/135949224.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师（java） (MJ000146),深圳-南山区|5-7年经验|本科|招1人,深圳市小满科技有限公司,计算机软件,150-500人,民营公司,,2.5-4万/月,10-23,https://jobs.51job.com/shenzhen-nsq/135936465.html?s=sou_sou_soulb&t=0_0
大数据开发组长,深圳-龙华区|5-7年经验|本科|招若干人,广州赛意信息科技股份有限公司,计算机软件,1000-5000人,上市公司,,1.5-2万/月,10-23,https://jobs.51job.com/shenzhen-lhq/120192060.html?s=sou_sou_soulb&t=0_0
大数据架构师,深圳-罗湖区|10年以上经验|本科|招1人,开泰远景信息科技有限公司,计算机服务(系统、数据服务、维修),150-500人,外资（非欧美）,五险一金 补充医疗保险 专业培训 出国机会 年终奖金 定期体检 15天年假,50-85万/年,10-22,https://jobs.51job.com/shenzhen-lhq/134425007.html?s=sou_sou_soulb&t=0_0
