职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
大客户销售专员,深圳-罗湖区|无需经验|本科|招8人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,6-8千/月,11-26,https://jobs.51job.com/shenzhen-lhq/130890823.html?s=sou_sou_soulb&t=0_0
Web前端开发工程师,深圳-南山区|3-4年经验|大专|招2人,深圳思特顺科技有限公司,计算机软件,,民营公司,,1.2-2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/136291091.html?s=sou_sou_soulb&t=0_0
Web前端开发工程师,深圳-南山区|5-7年经验|大专|招2人,深圳思特顺科技有限公司,计算机软件,,民营公司,,1.5-2.5万/月,11-26,https://jobs.51job.com/shenzhen-nsq/136308029.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-南山区|无需经验|本科|招12人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/133653606.html?s=sou_sou_soulb&t=0_0
链家实习生（8000底薪）,深圳-龙岗区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,五险一金 带薪年假 专业培训 绩效奖金 住房补贴 包住宿 出国旅游 节日福利 每月团建 弹性工作,1.5千以下/月,11-26,https://jobs.51job.com/shenzhen-lgq/133959077.html?s=sou_sou_soulb&t=0_0
房地产销售（6K-8K底薪，包住）,深圳-宝安区|无需经验|高中|招6人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-baq/134622862.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳-福田区|5-7年经验|大专|招2人,深圳市网新新思软件有限公司,计算机服务(系统、数据服务、维修),1000-5000人,上市公司,,1-2万/月,11-26,https://jobs.51job.com/shenzhen-ftq/132859690.html?s=sou_sou_soulb&t=0_0
测试（数据类）,深圳-福田区|5-7年经验|大专|招2人,深圳市网新新思软件有限公司,计算机服务(系统、数据服务、维修),1000-5000人,上市公司,,1.3-2万/月,11-26,https://jobs.51job.com/shenzhen-ftq/132858724.html?s=sou_sou_soulb&t=0_0
产品经理（业务）,深圳-南山区|2年经验|本科|招1人,深圳市网新新思软件有限公司,计算机服务(系统、数据服务、维修),1000-5000人,上市公司,,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/131753099.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-宝安区|无需经验|本科|招16人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-baq/135548200.html?s=sou_sou_soulb&t=0_0
博士后(陈美欣课题组),深圳-光明区|无需经验|博士|招2人,深圳湾实验室,学术/科研,500-1000人,事业单位,五险一金 免费班车 弹性工作 餐饮补贴 定期体检,2-2.5万/月,11-26,https://jobs.51job.com/shenzhen-gmq/133779118.html?s=sou_sou_soulb&t=0_0
研究助理（病原学方向）,深圳-光明区|无需经验|硕士|招2人,深圳湾实验室,学术/科研,500-1000人,事业单位,五险一金 免费班车 弹性工作 餐饮补贴 定期体检,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-gmq/135136717.html?s=sou_sou_soulb&t=0_0
商务经理（快递驿站合作）,深圳-南山区|5-7年经验|大专|招3人,深圳市高斯通信息技术有限公司,互联网/电子商务,150-500人,民营公司,带薪年假 五险一金 节日福利 智能消息服务 BI运营 大数据 智能商业平台,1.5-3万/月,11-26,https://jobs.51job.com/shenzhen-nsq/133847900.html?s=sou_sou_soulb&t=0_0
