本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
090006.OF,-0.565174129,0.675057208,0.12568306,-0.240291262,-0.022364217,0.029411765,0.022222222,0.299689441,-0.081242533,-0.066319896,-0.061281337,0.097922849,0.152702703,0.059789
360006.OF,-0.565118704,0.895189731,-0.017789356,-0.24151258,0.02467779,0.079660686,0.23191547,0.364855949,-0.132663364,0.188728074,-0.186746818,0.503617648,0.777116533,0.014341
519013.OF,-0.56266147,0.876654703,0.078648609,-0.246472248,-0.011235955,0.098484848,0.145977011,-0.110330993,-0.190529876,-0.025069638,-0.312857143,0.577962578,0.619235837,-0.042882
161706.OF,-0.562003307,0.737335606,-0.007079274,-0.283072145,0.055927531,0.012681835,0.156537753,0.409952229,-0.217290643,0.214991703,-0.237753103,0.595491141,0.890767652,-0.069857
161609.OF,-0.561159081,0.497604114,-0.038406828,-0.307732041,0.026172301,0.21360255,0.443082312,0.194174757,-0.12703252,0.031431898,-0.198081264,0.348682483,0.534165524,-0.051305
519181.OF,-0.560938683,0.484698276,-0.055160401,-0.255185128,-0.004331683,0.212554382,0.066119939,0.625160256,-0.078493245,0.183548162,-0.252701882,0.521124472,0.698216003,0.21199
160106.OF,-0.560721662,0.553726916,0.123020327,-0.275943828,0.129082176,0.181636395,0.288976951,0.366391816,-0.119707462,0.067717565,-0.361250747,0.476395878,0.529782631,0.123284
519087.OF,-0.559621198,0.997262149,-0.021818597,-0.162209506,0.115277391,0.122109736,0.575068584,0.088138507,-0.154475291,0.08760218,-0.22360015,0.544691836,0.641379014,0.007777
610001.OF,-0.558847489,0.784249965,0.03013386,-0.189814815,-0.00744898,0.095171783,0.290957394,0.20152439,-0.24955595,0.212764159,-0.238007761,0.412555568,0.406048511,-0.074517
162208.OF,-0.558474988,0.796832032,-0.103458831,-0.21685476,0.042648342,0.279631761,0.18500654,0.255881338,-0.193485783,0.200131357,-0.324759597,0.666456425,0.751054172,0.135095
360007.OF,-0.556386706,0.793169691,-0.074633972,-0.210445073,0.052297165,0.172472519,0.303182358,0.496200223,-0.087323899,0.248607945,-0.295679458,0.197200857,0.159241706,-0.083856
270005.OF,-0.556088667,0.756377,-0.012923077,-0.240149626,0.043485395,0.080987577,0.033604888,0.598733286,-0.206796373,0.084794673,-0.314098629,0.365155131,0.742679196,0.020079
519019.OF,-0.554386147,0.812785388,0.204030227,-0.290741984,-0.014218009,-0.001602564,0.083467095,0.513205179,0.014690451,0.303798548,-0.307090912,0.083061889,0.781301511,0.075732
162607.OF,-0.553832903,0.731660232,-0.009580956,-0.228563247,0.03058104,0.125714699,0.143619715,0.252700597,-0.083886964,0.309090909,-0.221486762,0.548226046,0.411320755,-0.046134
530003.OF,-0.552307023,0.646572679,0.044877473,-0.285202976,0.0395309,0.123209532,0.338223677,0.545285883,-0.071327221,0.091908092,-0.177923686,0.431096563,0.56309515,-0.003356
260104.OF,-0.55137278,0.896752302,0.114240968,-0.191832547,0.026161259,0.704062616,0.070690768,0.145022011,-0.162867958,0.18061291,-0.225929812,0.742673338,0.894084193,-0.10542
161610.OF,-0.550432928,0.754147813,-0.039273946,-0.272604825,-0.048275862,0.060869565,-0.005464481,0.710164835,-0.289156627,0.140112994,-0.212091179,0.612578616,0.616224649,-0.05888
290004.OF,-0.550113965,0.651102287,0.005382186,-0.34090501,-0.032965536,0.167910973,0.249306477,0.498069125,-0.285790434,-0.166400851,-0.298469388,0.407636364,0.604236631,0.040097
200008.OF,-0.55010553,0.739350722,-0.173373611,-0.121247716,0.127432051,-0.046107232,0.291258114,0.301283422,-0.109640832,0.357703314,-0.307447381,0.617891341,0.732068801,-0.077835
260109.OF,-0.549322417,0.996250582,0.108438029,-0.194669917,0.012429379,0.691368054,0.074414716,0.130050149,-0.163093982,0.172786177,-0.248967873,0.754498715,0.86837467,-0.088238
410001.OF,-0.547063101,0.477880842,-0.057453229,-0.363939045,-0.071874371,0.388720174,0.232583568,0.467621341,-0.190139021,0.07985926,-0.216232227,0.424036281,0.287331918,0.304082
270007.OF,-0.546384102,0.709325577,0.036584069,-0.389863548,-0.039515722,0.220063025,0.141627206,0.318627451,0.009722619,0.131690739,-0.258008008,0.58885187,0.878312864,-0.02508
217009.OF,-0.545203906,0.510735034,-0.009127474,-0.270994963,0.032158477,0.034022931,0.108955044,0.393000761,-0.173363502,0.095139217,-0.243040593,0.536427787,0.754884255,-0.071709
519997.OF,-0.544962181,0.705930638,0.004330567,-0.288298,-0.010434197,0.020408163,0.069166667,0.578643804,-0.09163622,0.199435457,-0.151389171,0.345973861,0.498783945,0.332074
160610.OF,-0.544048361,0.792362769,-0.035093465,-0.223952079,0.092827004,0.054054054,0.086080586,0.315030496,-0.09457684,0.120445344,-0.193664363,0.31452581,0.710899557,0.102333
519017.OF,-0.543181199,0.642969984,0.128502415,-0.267129957,-0.032178218,0.116368286,0.217640321,0.72261236,-0.090110328,0.181719919,-0.281837694,0.584398977,0.601386482,0.149972
310358.OF,-0.542488767,0.654141759,-0.04104285,-0.27039031,0.04039845,0.219680851,0.08780346,0.35774422,-0.179305724,0.409008134,-0.331136671,0.315651333,0.491705166,0.388436
240010.OF,-0.542102868,0.814777999,-0.090377944,-0.20985548,0.12650832,0.186379524,0.173541152,0.354875283,-0.186132696,0.069550529,-0.323353705,0.248528516,0.412419735,0.281867
020010.OF,-0.541698546,0.932770053,0.003393202,-0.147011689,0.099330357,0.318781726,0.142417244,0.448020861,-0.035265636,0.12195122,-0.253452491,0.554359526,0.627827076,0.070347
213002.OF,-0.54074711,0.354275016,-0.240399386,-0.23033367,0.040725171,0.134561979,0.215620828,0.456891818,-0.1882146,-0.003095496,-0.280235988,0.511647972,0.278681507,0.088528
180003.OF,-0.540244261,0.824611938,-0.180056131,-0.215317146,0.050572519,-0.007914883,0.343447554,-0.023016002,-0.037548813,0.285476488,-0.212485432,0.364060073,0.549094649,-0.006159
519021.OF,-0.538300836,0.843897534,0.101122226,-0.237589092,-0.050590219,0.296625222,0.110958904,0.602140777,-0.205766019,0.113545817,-0.273703041,0.47044335,0.546063652,-0.132991
020005.OF,-0.537885875,0.844129555,-0.047200878,-0.198156682,0.024425287,-0.025245442,0.113669065,0.087855297,-0.005938242,0.395459976,-0.241782177,0.54259502,0.701808881,-0.100053
240008.OF,-0.536933851,0.913893029,-0.063996078,-0.2139886,0.139905919,0.39275766,0.037481481,0.493502785,-0.087117953,-0.026742542,-0.264639943,0.301756098,0.572903395,0.124325
110010.OF,-0.53623819,1.028950543,0.029438758,-0.275184919,0.009392215,0.165339537,0.00134972,0.676504496,-0.260063998,0.297777482,-0.274762096,0.420700424,0.436941854,0.025199
398011.OF,-0.536025787,0.669799755,0.038301517,-0.179139658,0.045513281,0.077313925,0.074824729,0.194259962,-0.403277061,0.317024463,-0.236416477,0.68806884,0.372375945,0.090597
530005.OF,-0.534364115,0.750775406,-0.028866194,-0.217727224,0.0260631,0.16644385,0.28756447,0.3287342,-0.133583439,0.106781103,-0.254871562,0.43369871,0.458303197,-0.064546
320003.OF,-0.533577878,0.69630974,-0.026836662,-0.277233165,-0.034858664,0.123982138,0.218859547,0.41309558,-0.10936228,0.072745277,-0.197898175,0.258233003,0.465841131,0.216041
270006.OF,-0.532730855,0.707515601,0.183714652,-0.244001128,0.072118644,0.062050431,0.103676689,0.440488233,-0.170029493,0.139658187,-0.357733234,0.515142175,0.548774285,0.095199
