户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
1室1厅,中楼层/共6层,41.09平米,平层/简装,480.0,天宁寺东里,西城,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共16层,49.48平米,平层/精装,529.0,建功南里,西城,东南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共13层,63.52平米,平层/精装,390.0,碣石坪,石景山,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共19层,179.69平米,平层/精装,1070.0,上东8号,朝阳,东 西,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,59.55平米,平层/简装,296.0,育芳园,丰台,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共15层,90.7平米,平层/简装,353.0,大方居,通州,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
3室1厅,低楼层/共18层,89.99平米,暂无数据/简装,289.0,首创伊林郡二期,房山,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共9层,130.6平米,平层/简装,675.0,壹线国际,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共24层,67.78平米,平层/简装,224.0,幸福西区,顺义,东南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,57.98平米,平层/精装,210.0,门头沟月季园,门头沟,南,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,84.91平米,平层/精装,450.0,方南家园一期,丰台,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共28层,61.56平米,平层/精装,470.0,炫特嘉园一期,朝阳,西北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共7层,94.58平米,平层/精装,409.0,新华联家园南区,通州,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,57.52平米,平层/精装,320.0,酒仙桥十街坊,朝阳,南 西 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共7层,98.71平米,平层/简装,810.0,亮甲店小区,海淀,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共22层,89.83平米,平层/精装,405.0,双合家园,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室2厅,高楼层/共23层,134平米,平层/精装,1280.0,万博苑,西城,西北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共9层,90.62平米,平层/精装,389.0,万科新里程57号院,房山,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室2厅,底层/共6层,121.25平米,平层/精装,600.0,龙锦苑四区,昌平,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共16层,89.56平米,平层/简装,1160.0,珠江帝景伯爵山,朝阳,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共30层,70.11平米,平层/简装,460.0,怡海花园富泽园,丰台,东南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共25层,69.89平米,平层/简装,520.0,芳城园三区,丰台,东南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共27层,72.34平米,平层/精装,325.0,金融街融汇,大兴,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,61.16平米,平层/简装,228.0,北平里,朝阳,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,78.1平米,平层/简装,740.0,金庄1号院,海淀,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共34层,60.02平米,平层/简装,295.0,广安﹒康馨家园,丰台,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共16层,75.76平米,平层/简装,263.0,首开国风美仑,通州,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室0厅,低楼层/共14层,45.32平米,平层/简装,185.0,皓月园,门头沟,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室1厅,低楼层/共6层,80.75平米,平层/其他,640.0,安慧北里逸园,朝阳,东 西,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共12层,97.05平米,平层/精装,430.0,花涧溪,通州,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室1厅,顶层/共5层,58.82平米,平层/简装,340.0,劲松一区,朝阳,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室2厅,顶层/共6层,127.91平米,平层/简装,600.0,富锦嘉园五区,丰台,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,89.71平米,平层/简装,328.0,望都新地,昌平,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共19层,102.29平米,平层/简装,626.0,蒲安东里,丰台,东北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共5层,52.94平米,平层/简装,285.0,苇子坑1号院,丰台,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,55平米,平层/简装,268.0,宋庄路12号院,丰台,东 西,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共20层,81.65平米,平层/简装,251.0,融科香雪兰溪,通州,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共20层,88.3平米,平层/简装,595.0,青秀城,丰台,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共12层,44.44平米,平层/精装,233.0,嘉园三里,丰台,东,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室0厅,高楼层/共18层,42.55平米,平层/精装,335.0,懿品阁,朝阳,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共6层,89.55平米,平层/简装,688.0,首开常青藤四期,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共5层,56.1平米,平层/简装,398.0,永定路85号院,海淀,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共28层,55.98平米,平层/精装,326.0,芳城园一区,丰台,东北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室2厅,高楼层/共6层,131.9平米,平层/简装,320.0,温泉花园B区,昌平,东 南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共28层,109.56平米,暂无数据/精装,1030.0,UHN国际村,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共4层,126.24平米,平层/精装,790.0,浉城百丽,亦庄开发区,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室2厅,低楼层/共18层,80.65平米,平层/简装,310.0,首开熙悦睿府书香,房山,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共24层,100.43平米,平层/精装,1030.0,博望园,海淀,东南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,59.51平米,平层/简装,259.0,模式口西里,石景山,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共28层,71.04平米,平层/精装,360.0,翠成馨园E区,朝阳,西南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共15层,91.36平米,平层/精装,315.0,金宝城北区,顺义,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室1厅,高楼层/共6层,109.16平米,平层/简装,760.0,三环新城4号院,丰台,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共14层,76.71平米,平层/简装,680.0,和平街十二区,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,50.9平米,平层/精装,679.0,清华园,海淀,南,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,42.1平米,平层/简装,333.0,望园西里,丰台,南 西 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
4室2厅,高楼层/共18层,183.55平米,平层/精装,1800.0,亚奥金茂悦,朝阳,南 北,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共5层,73.7平米,平层/简装,505.0,芳群园二区,丰台,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共7层,70.63平米,平层/精装,410.0,清水园一期,昌平,南 北,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,71.56平米,平层/简装,295.0,枣园小区,大兴,北 南,,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共10层,88.22平米,平层/简装,428.0,润枫锦尚,大兴,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共25层,67.82平米,平层/精装,398.0,雅成一里,朝阳,南,有,"2021年11月27日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,62.08平米,平层/精装,267.0,永乐西区,石景山,东 西,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共16层,105.22平米,平层/精装,656.0,潘家园南里,朝阳,南 北 西,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共18层,80.79平米,平层/简装,408.0,海特花园小区,石景山,东南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共6层,72.14平米,平层/精装,245.0,西潞苑小区,通州,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共18层,71.22平米,平层/精装,438.0,松榆东里,朝阳,东,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室0厅,高楼层/共18层,42.64平米,平层/精装,232.0,弘善家园,朝阳,南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,顶层/共6层,41.7平米,平层/精装,605.0,百万庄中里,西城,东,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共28层,91.68平米,平层/简装,590.0,丰益花园东区,丰台,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,86.04平米,平层/精装,365.0,麓景嘉园北里,海淀,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共12层,95.06平米,平层/精装,590.0,鸿坤理想城礼域府,大兴,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共4层,46.19平米,平层/精装,308.0,龙城花园北二区,昌平,东 南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共5层,147.21平米,平层/简装,978.0,枫丹丽舍,海淀,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共30层,115.45平米,平层/精装,810.0,望京新城,朝阳,东南 南 西南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,81.77平米,平层/精装,315.0,天泽苑小区,昌平,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共16层,77.08平米,平层/简装,780.0,民安小区东直门内北小街,东城,东 西,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共20层,88.88平米,平层/精装,406.0,长阳国际城一区,房山,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,77.65平米,平层/简装,220.0,建设一里,丰台,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共24层,81.61平米,平层/简装,588.0,莲香园,丰台,东南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共18层,126.97平米,平层/简装,470.0,天通苑北二区,昌平,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共7层,120.62平米,平层/简装,520.0,龙泽苑东区,昌平,南 东 西,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共18层,88.59平米,平层/简装,769.0,华纺易城,朝阳,东南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共16层,95.61平米,平层/精装,762.0,青年汇佳园,朝阳,西南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共11层,80.32平米,平层/精装,930.0,朝阳门南小街,东城,南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,64.36平米,平层/简装,539.0,小关北里,朝阳,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,55.6平米,平层/精装,268.0,模式口西里,石景山,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共5层,67平米,平层/简装,610.0,光大名筑,朝阳,东 西,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,60.11平米,平层/毛坯,450.0,左家庄东里,朝阳,东南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,61.81平米,平层/简装,278.0,管庄西里,朝阳,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共18层,77.46平米,平层/毛坯,388.0,北街家园六区,昌平,东 西,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,57.84平米,平层/简装,265.0,定福庄北里2号院,朝阳,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室2厅,低楼层/共6层,131.58平米,平层/简装,1610.0,颐慧佳园B区,海淀,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,低楼层/共18层,80.17平米,平层/简装,850.0,东直门南大街,东城,西北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共9层,128.65平米,平层/简装,950.0,保利欣苑,丰台,北 南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共16层,63.65平米,平层/简装,339.0,农光南里,朝阳,西北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共25层,75.58平米,平层/简装,495.0,恋日国际,朝阳,东北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共16层,65.24平米,平层/简装,415.0,彩虹城四区,丰台,东北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,低楼层/共6层,77.78平米,平层/简装,780.0,南菜园街1号院,西城,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共6层,40.37平米,平层/简装,460.0,南菜园街1号院,西城,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共21层,85.25平米,平层/精装,1020.0,华龙美钰,西城,西,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,56.48平米,平层/简装,469.0,西革新里108号院,东城,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共6层,55.77平米,平层/简装,279.0,酒仙桥十一街坊,朝阳,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,60.71平米,平层/简装,480.0,花家地西里一区,朝阳,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,76.81平米,平层/简装,259.0,玉桥东路30号院,通州,东 南 西,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共18层,55.66平米,平层/简装,245.0,八角北里,石景山,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,59.78平米,平层/简装,430.0,望京路3号院,朝阳,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,90.67平米,平层/精装,339.0,倚山嘉园,门头沟,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共6层,46平米,平层/精装,398.0,胜古北里,朝阳,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共25层,82.47平米,平层/简装,620.0,慧忠北里第一社区,朝阳,东南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共4层,122.88平米,平层/简装,348.0,东方太阳城,顺义,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共11层,140.33平米,平层/简装,1299.0,紫薇天悦,朝阳,北 南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,66.04平米,平层/简装,425.0,矩阵一期,昌平,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,61.76平米,平层/精装,246.0,梨园100号院,通州,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共9层,83.02平米,平层/精装,600.0,紫金新干线二期,昌平,南,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共21层,90.52平米,暂无数据/简装,396.0,首开熙悦山澜庭,房山,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共17层,88.72平米,平层/精装,399.0,长阳半岛4号院,房山,南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共5层,54.2平米,平层/精装,565.0,万寿寺北里,海淀,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
1室1厅,高楼层/共6层,61平米,平层/简装,211.0,仓上小区,顺义,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共18层,97.54平米,平层/精装,330.0,首创伊林郡二期,房山,东 南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室2厅,高楼层/共28层,135.88平米,平层/精装,810.0,运河湾,通州,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共14层,134.49平米,平层/简装,850.0,彩虹城四区,丰台,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
2室0厅,顶层/共6层,40.61平米,平层/其他,380.0,天华公馆,东城,东,有,"2021年11月26日
                                                                            ","商业办公类
                                                                            "
2室1厅,中楼层/共22层,114.7平米,平层/简装,930.0,公园五号,朝阳,西南,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共5层,69.2平米,平层/精装,766.0,北太平路16号院,海淀,南 北,,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共24层,121.34平米,平层/简装,599.0,金顶街五区,石景山,南 北,有,"2021年11月26日
                                                                            ","普通住宅
                                                                            "
